Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page,Action Thriller Sci-Fi Mystery Adventure,inception,Leonardo DiCaprio Joseph Gordon-Levitt Ellen Page Christopher Nolan Action Thriller Sci-Fi Mystery Adventure
Baz Luhrmann,Leonardo DiCaprio,Claire Danes,John Leguizamo,Drama Romance,romeo + juliet,Leonardo DiCaprio Claire Danes John Leguizamo Baz Luhrmann Drama Romance
Quentin Tarantino,Leonardo DiCaprio,Brad Pitt,Margot Robbie,Comedy Drama Thriller,once upon a time in hollywood,Leonardo DiCaprio Brad Pitt Margot Robbie Quentin Tarantino Comedy Drama Thriller
Joe Pytka,Michael Jordan,Wayne Knight,Billy West,Animation Comedy Drama Family Fantasy,space jam,Michael Jordan Wayne Knight Billy West Joe Pytka Animation Comedy Drama Family Fantasy
Gore Verbinski,Johnny Depp,Geoffrey Rush,Orlando Bloom,Adventure Fantasy Action,pirates of the caribbean: the curse of the black pearl,Johnny Depp Geoffrey Rush Orlando Bloom Gore Verbinski Adventure Fantasy Action
Mike Newell,Johnny Depp,Al Pacino,Michael Madsen,Crime Drama Thriller,donnie brasco,Johnny Depp Al Pacino Michael Madsen Mike Newell Crime Drama Thriller
Peter Weir,Robin Williams,Ethan Hawke,Robert Sean Leonard,Drama,dead poets society,Robin Williams Ethan Hawke Robert Sean Leonard Peter Weir Drama
Jack Sholder,Robert Englund,Mark Patton,Kim Myers,Horror,a nightmare on elm street part 2: freddy's revenge,Robert Englund Mark Patton Kim Myers Jack Sholder Horror
Todd Phillips,Joaquin Phoenix,Robert De Niro,Zazie Beetz,Crime Thriller Drama,joker,Joaquin Phoenix Robert De Niro Zazie Beetz Todd Phillips Crime Thriller Drama
Will Gluck,Justin Timberlake,Mila Kunis,Patricia Clarkson,Romance Comedy,friends with benefits,Justin Timberlake Mila Kunis Patricia Clarkson Will Gluck Romance Comedy
